name,type,website,youtube,github,twitter,nostr,platforms
MyNode,tag,https://mynodebtc.com/,,https://github.com/mynodebtc/mynode,https://x.com/mynodebtc,https://primal.net/p/nprofile1qqsp4za5duapejf2g0exeu354jzuh8fe9fevldxhsqztk9hhtteurxgszl2uc,
Parmanode,tag,https://parmanode.com/,,https://github.com/ArmanTheParman/Parmanode,https://x.com/parman_the,,"mac,windows,linux"
Raspiblitz,tag,https://docs.raspiblitz.org/,,https://github.com/raspiblitz/raspiblitz,https://x.com/RaspiBlitz,https://primal.net/p/nprofile1qqsdzexh3s943m0tyt25jskv7tup2kl053wupcm30nqls8g0zy69r0cekd245,
RoninDojo,tag,https://ronindojo.io/,,https://github.com/RoninDojo/RoninDojo,https://x.com/RoninDojoNode,,
Start9,tag,https://start9.com/,,https://github.com/Start9Labs,https://x.com/start9labs,https://primal.net/p/nprofile1qqs9df4h2deu3aae83fmet5xmrlm4w5l9gdnsy3q2n7dklem7ezmwfc6c32nl,
Ubuntu Node Box,tag,https://ministryofnodes.com.au/,,,https://x.com/ministryofnodes,,linux
Umbrel,tag,https://umbrel.com/,,https://github.com/getumbrel/umbrel,https://x.com/umbrel,https://primal.net/p/nprofile1qqsw5t3us9xs3gmclzjm37hvk2yy6pv9t96utjjttsj794hexc5x79qzl2gvy,
Avalon Nano,tag,https://avalon-nano.org/,,https://github.com/Canaan-Creative/Avalon_Nano3s,https://x.com/CanaanInc1,,
Bitaxe,tag,https://bitaxe.org/,,https://github.com/bitaxeorg,https://x.com/skot9000,https://primal.net/p/nprofile1qqsq04ppqc5dzfk5p86fg08xu2stpnnhtzfu6fh9vv0vgp43qg8jvuc3kcg20,
Braiins Mini Miner,tag,https://braiins.com/hardware/mini-miner-bmm-101,,https://github.com/braiins/bmminer,https://x.com/BraiinsMining,,
Braiins Pool,tag,https://braiins.com/pool,,,https://x.com/BraiinsMining,,
DATUM,tag,https://ocean.xyz/docs/datum-setup,,https://github.com/OCEAN-xyz/datum_gateway,https://x.com/ocean_mining,https://primal.net/p/nprofile1qqsq9k04vahllseell55m74n3047y88pzlr0z5yany32st29fapqmgstcvu4w,
Futurebit,tag,https://www.futurebit.io/,,https://github.com/jstefanop/Apollo-Miner-Binaries,https://x.com/FutureBit,,
NerdAxe,tag,https://nerdaxe.org/,,https://github.com/nerdaxe,https://x.com/realnerdaxe,,
Alby,tag,https://getalby.com/,,https://github.com/getAlby,https://x.com/getAlby,https://primal.net/p/nprofile1qqsyv47lazt9h6ycp2fsw270khje5egjgsrdkrupjg27u796g7f5k0s8jq7y6,
Bolt Ring,tag,https://bitcoin-ring.com/,,https://github.com/bitcoin-ring,https://x.com/bitcoin_ring,,
Boltz,tag,https://boltz.exchange/,,https://github.com/BoltzExchange,https://x.com/Boltzhq,https://primal.net/p/nprofile1qqsqcdcltmv4qanpx3p7svcufdsg9rkk00x7l2sknra4e6whkv59l7clgcdzj,
Core Lightning,tag,https://corelightning.org/,,https://github.com/ElementsProject/lightning,https://x.com/Core_LN,,linux
LNbits,tag,https://lnbits.com/,,https://github.com/lnbits/lnbits,https://x.com/lnbits,https://primal.net/p/nprofile1qqs8u5uf0rd2p9wmdxxaznpn54tkq8wwspmljy0cjqw6jdgm5kv84dsd6z52x,
Lightning Network Daemon (LND),tag,https://lightning.engineering/api-docs/api/lnd/,,https://github.com/lightningnetwork/lnd,https://x.com/lightning,,
Lightning Node Connect,tag,https://docs.lightning.engineering/lightning-network-tools/lightning-terminal/lightning-node-connect,,https://github.com/lightninglabs/lightning-node-connect,https://x.com/lightning,,
Loop,tag,https://docs.lightning.engineering/lightning-network-tools/loop,,https://github.com/lightninglabs/loop,https://x.com/lightning,,
Pool,tag,https://docs.lightning.engineering/lightning-network-tools/pool,,https://github.com/lightninglabs/pool,https://x.com/lightning,,
Ride The Lightning,tag,https://www.ridethelightning.info/,,https://github.com/Ride-The-Lightning,https://x.com/RTL_App,https://primal.net/p/nprofile1qqszpz6sn5nnry0zzemfwtlhz74tdv490z3fa9lz5x3c2qucj5kkxpg4lqs0e,
Thunderhub,tag,https://www.thunderhub.io/,,https://github.com/apotdevin/thunderhub,https://x.com/thunderhubio,,
Voltage,tag,https://www.voltage.cloud/,,https://github.com/voltagecloud,https://x.com/voltage_cloud,https://primal.net/p/nprofile1qqs2t0mx5nzctcj8jaw6fynj6puxtdmpx0j9yajk5rqdt7qtsj60dfgf4xc85,
Coinjoin (JoinMarket),tag,https://www.joinmarket.cloud/index.html,,https://github.com/JoinMarket-Org/joinmarket-clientserver,https://x.com/joinmarket,,
Coinjoin (Wabisabi),tag,,,https://github.com/WalletWasabi/WabiSabi,,,
Coinjoin (Whirlpool),tag,,,https://github.com/Samourai-Wallet/Whirlpool,,,
Payjoin,tag,https://payjoin.org/,,https://github.com/payjoin,https://x.com/payjoindevkit,,
SeedQR,tag,https://blockdyor.com/seedqr/,,https://github.com/SeedSigner/seedsigner/blob/dev/docs/seed_qr/README.md,,,
Silent Payments,tag,https://silentpayments.xyz/,,https://github.com/sethforprivacy/silentpaymentsxyz,,,
Statechains,tag,https://medium.com/@RubenSomsen/statechains-non-custodial-off-chain-bitcoin-transfer-1ae4845a4a39,,https://github.com/commerceblock/mercury/blob/master/doc/statechains.md,,,
Border Wallet,tag,https://www.borderwallets.com/,,https://github.com/microchad/borderwallets,https://x.com/BorderWallets,,
Child Pays For Parent (CPFP),tag,https://bitcoinops.org/en/topics/cpfp/,,https://github.com/bitcoin/bitcoin/pull/7600,,,
Gettxoutsetinfo (Audit Supply),tag,https://developer.bitcoin.org/reference/rpc/gettxoutsetinfo.html,,,,,
Mempool.space Accelerator,tag,https://mempool.space/accelerator,,,https://x.com/mempool,https://primal.net/mempool,
Partially Signed Bitcoin Transactions (PSBT),tag,https://bitcoinops.org/en/topics/psbt/,,https://github.com/bitcoin/bips/blob/master/bip-0370.mediawiki,,,
Paynyms (BIP 47),tag,,,https://github.com/bitcoin/bips/blob/master/bip-0047.mediawiki,,,
Replace By Fee (RBF),tag,https://bitcoinops.org/en/topics/replace-by-fee/,,https://github.com/bitcoin/bips/blob/master/bip-0113.mediawiki,,,
Seed XOR,tag,https://seedxor.com/,,https://github.com/Coldcard/firmware/blob/master/docs/seed-xor.md,,,
Shamir's Secret Sharing (SLIP-39),tag,https://content.trezor.io/slip-39,,https://github.com/satoshilabs/slips/blob/master/slip-0039.md,,,
Taproot Assets,tag,https://docs.lightning.engineering/the-lightning-network/taproot-assets,,https://github.com/lightninglabs/taproot-assets,https://x.com/lightning,,
Timelocks,tag,https://bitcoinops.org/en/topics/timelocks/,,,,,
Anchorwatch/Trident,tag,https://www.anchorwatch.com/,,https://github.com/AnchorWatch,https://x.com/AnchorWatch,,
Azteco,tag,https://azte.co/,,,https://x.com/Azteco_,https://primal.net/p/nprofile1qqszf6akkkxshxz2jedhd7pva8hls72ue9ggtfxsnhku262fa4vk4ksnfc93c,
